id	userid	photoid	fileName	choice
1	1	220	CXEnDhb.jpg	1
2	1	203	42 - 30vOYTT.jpg	0
3	1	84	141 - blGyVAT.png	0
4	1	91	150 - tdMMmq5.jpg	0
5	1	237	OSIvs4Y.jpg	1
6	1	278	wAIwF2W.jpg	1
7	1	111	199 - QYZptGn.png	1
8	1	196	39 - h6G5yZs.jpg	1
9	1	130	22 - hlDbeLu.jpg	0
10	1	66	11 - qoTr4jz.png	1
11	1	221	Cg3Hxh0.jpg	0
12	1	61	103 - s5ZMb5K.jpg	1
13	1	14	02 - nhRnApm.jpg	1
14	1	243	RkzbiUP.jpg	1
15	1	193	368 - 5lW7IVr.png	0
16	1	205	44 - fSFLIne.jpg	0
17	1	162	2oBN20U.jpg	1
18	1	132	23 - cY6qnng.png	0
19	1	232	NGcsaoz.jpg	1
20	1	162	2oBN20U.jpg	1
21	1	141	25 - E2eL9AC.jpg	0
22	1	39	07 - fKUqq3z.jpg	0
23	1	115	20 - TGQyX24.png	1
24	1	168	312 - eV3eCts.png	1
25	1	226	FreYCaw.jpg	1
26	1	133	23 - dObvO8X.jpg	0
27	1	46	08 - qz1sTsu.jpg	1
28	1	40	07 - sLNoF1f.png	1
29	1	266	kclUI2c.jpg	1
30	1	159	284 - fQhCPAb.jpg	1
31	1	87	145 - Cb40RWa.jpg	1
32	1	14	02 - nhRnApm.jpg	1
33	1	253	Z7c5vkh.png	0
34	1	1	001 - oYCNx6A.jpg	1
35	1	159	284 - fQhCPAb.jpg	1
36	1	189	36 - oEJoNwH.jpg	0
37	1	37	066 - V2wMxom.jpg	0
38	1	250	Xt9hs7x.jpg	1
39	1	40	07 - sLNoF1f.png	1
40	1	237	OSIvs4Y.jpg	1
41	1	172	32 - pMit0dn.jpg	0
42	1	227	FtnCLS3.jpg	1
43	1	216	9BeR7dx.jpg	1
44	1	256	amGKAdP.jpg	1
45	1	228	H1kOAfK.jpg	1
46	1	242	RBO63fA.jpg	1
47	1	184	349 - nCR9z8P.jpg	0
48	1	202	41 - zceufdR.jpg	0
49	1	195	38 - edOCLRt.jpg	1
50	1	179	335 - YTfBJT5.png	1
51	1	148	258 - 20Z2HzP.png	0
52	1	171	315 - zn9gSrA.jpg	0
53	1	205	44 - fSFLIne.jpg	1
54	1	64	11 - 3cNn3e5.jpg	0
55	1	168	312 - eV3eCts.png	1
56	1	121	21 - J4NbjG8.jpg	1
57	1	250	Xt9hs7x.jpg	1
58	1	66	11 - qoTr4jz.png	1
59	1	165	30 - Fwmy5Vc.jpg	1
60	1	146	256 - b1FMzTd.jpg	0
61	1	180	34 - cDMqX11.jpg	1
62	1	210	6 - ao9bHts.jpg	1
63	1	202	41 - zceufdR.jpg	0
64	1	204	43 - KfhzNSi.jpg	0
65	1	268	q7xtGIi.png	0
66	1	101	17HeP4e.jpg	1
67	1	198	3wVdrjq.jpg	1
68	1	110	197 - lf2gd2i.jpg	1
69	1	83	14 - xGIwgjb.png	1
70	1	46	08 - qz1sTsu.jpg	1
71	1	216	9BeR7dx.jpg	1
72	1	101	17HeP4e.jpg	1
73	1	178	333 - W3hxfIB.jpg	1
74	1	213	7fNxJT6.png	1
75	1	176	329 - qBS6MaJ.png	1
76	1	274	sSHKzAZ.png	1
77	1	124	213 - 3HbiYxu.jpg	1
78	1	64	11 - 3cNn3e5.jpg	0
79	1	140	246 - HyRB5p6.png	1
80	1	22	04 - DqPfHJg.png	1
81	1	192	367 - p0kBsFr.jpg	1
82	1	50	09 - WJNmypj.jpg	1
83	1	28	05 - eSsdjxg.jpg	0
84	1	5	008 - IOwgd65.jpg	0
85	1	233	NSFCby5.jpg	1
86	1	195	38 - edOCLRt.jpg	1
87	1	185	35 - Syd SG.jpg	1
88	1	179	335 - YTfBJT5.png	1
89	1	239	QA5kzlG.jpg	1
